      0.300000000000  ********************  ********************  ********************  ********************  ********************  ********************  ********************    
      0.301000000000  ********************  ********************  ********************  ********************  ********************  ********************  ********************    
      0.302000000000  ********************  ********************  ********************  ********************  ********************  ********************  ********************    
      0.303000000000  9837116.006370794028  9837119.593702530488  9837126.768366001546  9837137.530361209065  9837151.879688151181  9837169.816346829757  9837191.340337242931    
      0.304000000000  9455464.976514091715  9455468.540283778682  9455475.667823150754  9455486.359132209793  9455500.614210953936  9455518.433059385046  9455539.815677503124    
      0.305000000000  9089796.423496793956  9089799.963935809210  9089807.044813837856  9089817.666130881757  9089831.827886939049  9089849.530082011595  9089870.772716097534    
      0.306000000000  8739392.008723324165  8739395.526060024276  8739402.560733426362  8739413.112743528560  8739427.182090332732  8739444.768773837015  8739465.872794041410    
      0.307000000000  8403567.871878264472  8403571.366338038817  8403578.355257589370  8403588.838636914268  8403602.816476013511  8403620.288774887100  8403641.255533536896    
      0.308000000000  8081672.871459207498  8081676.343264522031  8081683.286875150166  8081693.702291091904  8081707.589512349106  8081724.948538919911  8081745.779370805249    
      0.309000000000  7773086.920402642339  7773090.369773087092  7773097.268513972871  7773107.616625304334  7773121.414107078686  7773138.660959295928  7773159.357181956992    
      0.310000000000  7477219.411378543824  7477222.838530877605  7477229.692835546099  7477239.974292549305  7477253.682901886292  7477270.818663557991  7477291.381577563472    
      0.311000000000  7193507.726654924452  7193511.131803127006  7193517.942099533044  7193528.157544142567  7193541.778136952780  7193558.803877966478  7193579.234767183661    
      0.312000000000  6921415.827738459222  6921419.211093769409  6921425.977804390714  6921436.127870320342  6921449.661291562021  6921466.578068112954  6921486.878199974075    
      0.313000000000  6660432.920283261687  6660436.282054223120  6660443.005596145056  6660453.090909030288  6660466.537992876023  6660483.346847682260  6660503.517473451793    
      0.314000000000  6410072.190028369427  6410075.530420873314  6410082.211205882020  6410092.232383393683  6410105.593953409232  6410122.295915928669  6410142.338270952925    
      0.315000000000  6169869.605774960481  6169872.924992288463  6169879.563426943496  6169889.521078925580  6169902.797948236577  6169919.394034873694  6169939.309338838793    
      0.316000000000  5939382.785650836304  5939386.083893699571  5939392.680379425175  5939402.575108013116  5939415.768079466186  5939432.259293779731  5939452.048750957474    
      0.317000000000  5718189.923130108044  5718193.200596689247  5718199.755529852584  5718209.587929598056  5718222.697795924731  5718239.085128832608  5718258.749928321689    
      0.318000000000  5505888.769483972341  5505892.026369966567  5505898.540141955949  5505908.310799940489  5505921.338343918324  5505937.622773892246  5505957.164089859463    
      0.319000000000  5302095.669532598928  5302098.906031250954  5302105.379028555006  5302115.088524511084  5302128.034519118257  5302144.217012378387  5302163.636004290543    
      0.320000000000  5106444.647751118056  5106447.864053260535  5106454.296657543629  5106463.945563969202  5106476.810772536322  5106492.892283245921  5106512.190096096136    
      0.321000000000  4918586.541954088956  4918589.738248178735  4918596.130836358294  4918605.719718628563  4918618.504894988611  4918634.486365437508  4918653.664129977114    
